Sentence_id,text,label
16529,And uh - with that uh - in that framework would befit the - any improvements in the programs.,0
29035,I have spent the last quarter century fighting for middle-class working men and women in the United States of America.,0
24904,This brings up the whole question of what Presidential leadership is all about.,0
29893,I got him to give the birth certificate.,0
20362,"Under my tax plan that he continues to criticize, I set one-third.",1
2535,And what we did in Massachusetts is a model for the nation state by state.,0
10318,Then companies won't come here.,0
34235,And they are being slaughtered...,1
13362,We've spent more money on agriculture in the last eight years than the hundred years of the Agricultural Department before that.,1
24004,Our foreign competitors are doing it; we're not.,1
9468,"It's going to help those families, and it's going to create incentives to start growing jobs again in this country.",0
19954,It was wrong for the country and calling it conservative won't make it right.,0
18773,That's where he was breaking the agreement.,1
1382,"And I would institute the same kind of procedure as president, not only in judicial appointments, but also in diplomatic appointments.",0
6340,It's a system that cries out for accountability and transparency and the adequate funding.,0
25345,"And that's why this enormous national debt, engineered by this administration, is harming these countries in fueling this immigration.",1
26752,Let me tell you what I feel.,0
11007,"And when Senator McCain says that he wants to provide children health care, what he doesn't mention is he voted against the expansion of the Children's Health Insurance Program that is responsible for making sure that so many children who didn't have previously health insurance have it now.",1
11598,"Yes, I voted for it, supported it.",1
3673,"With all due respect, you already gave them to the oil companies.",1
20918,90% of our kids go to public schools.,1
11503,"Well, we stand with Israel, but we have maintained the ability to serve as an honest broker.",1
23455,But let me just address what the president just said.,0
22500,I want to make America as great as it can be and I ask for your help in doing it.,0
33862,Nobody has more respect for women than I do.,0
14837,"And with each one of those decisions that affect the future of my country, I have learned in the process.",0
1429,"Now in addition, we had a very - some very good news in the reduction in the rate of inflation.",1
18740,I hope we can do it.,0
32624,Russia hasn't paid any attention to ISIS.,1
20540,That they're appointed for life and that they ought to look at the Constitution as sacred.,0
8507,"The fact of the matter is it was a bill that was less than you recommended, Mr. Nixon, this morning in your proposal.",1
22842,Now they have the bombs and we're less safe.,1
32161,"Number one, insurance companies can't deny you coverage because of a pre-existing condition.",1
3588,I have fought against it.,1
1766,"On government land, your administration has cut the number of permits and licenses in half.",1
32682,So she wants to fight.,0
7703,We have to practice what we preach.,0
25987,"They haven't said what's going to happen, whether they're going to have it declared addictive.",1
17449,"I believe that until and unless someone can establish that the unborn child is not a living human being, then that child is already protected by the Constitution, which guarantees life, liberty, and the pursuit of happiness to all of us.",0
19382,"And I shook hands with him on it and I appointed my members, and the commission never met.",1
34158,He has consistently denied what is...,1
18264,There's a sense of American occupation.,0
26670,We didn't have access to their markets.,1
27651,"And what we can now do is free up some resources, to, for example, put Americans back to work, especially our veterans, rebuilding our roads, our bridges, our schools, making sure that, you know, our veterans are getting the care that they need when it comes to post-traumatic stress disorder and traumatic brain injury, making sure that the certifications that they need for good jobs of the future are in place.",0
26774,But we're not there yet.,0
7622,That is the accepted procedure between nations; and my judgment is that we should follow the advice of Theodore Roosevelt: Be strong; maintain a strong position; but also speak softly.,0
8037,We had to go in when they came in.,0
26369,He said it was a mistake.,0
13508,"Well, I think there are many uh - tests, Mr. Drummond, of prestige.",0
10768,Senator Obama's secret that you don't know is that his tax increases will increase taxes on 50 percent of small business revenue.,1
2172,That's $1 -- that's $1 for every $15 you've cut.,1
18098,"And that's why it's essential that we have strong alliances, and we do.",0
18884,He needed to be disarmed.,0
16916,"Uh - Mr. Ford has vetoed, as I said earlier, four times as many bills per year as Mr. Nixon.",1
7144,Women work for 76 cents on the dollar for the same work that men do.,1
14887,Again it's important to put the situation in perspective.,0
28196,"They've been talking about it in Washington, D.C.",0
17348,"And when people vote, I think you're going to see a very strong verdict by the American people that they favor the approach that I'm talking about.",0
34317,"And we're bringing GDP from, really, 1 percent, which is what it is now, and if she got in, it will be less than zero.",1
25877,We used to have 18.,1
22864,"It is naive and dangerous to take a policy that he suggested the other day, which is to have bilateral relations with North Korea.",0
7115,We're continuing to increase manpower and equipment.,1
