Sentence_id,text,label
9614,I'm going to continue to push on this issue for the next four years.,0
27782,"We have enormous trade imbalance with China, and it's worse this year than last year, and it's worse last year than the year before.",1
27325,"First of all, I'm going through from the very beginning -- we're going to cut about 5 percent of the discretionary budget, excluding military.",0
27310,They're still number one today.,1
1812,So there's no economist that can say Mitt Romney's tax plan adds $5 trillion if I say I will not add to the deficit with my tax plan.,0
27172,And that begins with a strong economy here at home.,0
27405,"Well, Governor, we also have fewer horses and bayonets, because the nature of our military's changed.",0
1906,"I think first of all, let me -- let me repeat -- let me repeat what I said.",0
10185,We're starting to see gains in math and science.,1
1733,But I'm not going to reduce the share of taxes paid by high-income people.,0
1936,Number two is to cut spending.,0
2019,"As a matter of fact, it's growing much more slowly now than when you made that statement.",1
27181,But the idea of a trillion dollar in cuts through sequestration and budget cuts to the military would change that.,1
9170,"And what I want to do, is build on the five million jobs that we've created over the last 30 months in the private sector alone.",1
27186,"And if we're strong in each of those things, American influence will grow.",0
2391,"And so as a consequence, they're paying their premiums, somebody gets really sick, lo and behold, they don't have enough money to pay the bills, because the insurance companies say that they've hit the limit.",0
27170,But it's an honor that we have it.,0
27725,I know Americans had seen jobs being shipped overseas; businesses and workers not getting a level playing field when it came to trade.,1
1830,"And the reason is because small business pays that individual rate; 54 percent of America's workers work in businesses that are taxed not at the corporate tax rate, but at the individual tax rate.",1
9569,"If the president were reelected, we'd go to almost $20 trillion of national debt.",1
9454,No tax on your savings.,0
27200,We recognize that there are places of conflict in the world.,0
1882,"The National Federation of Independent Businesses has said that will cost 700,000 jobs.",1
10138,"What I believe is we have to do, as the president mentioned towards the end of his remarks there, which is to make enormous efforts to enforce the gun laws that we have, and to change the culture of violence that we have.",0
2590,And the proof of that is 23 million people out of work.,1
9536,Governor Romney then also wants to spend $2 trillion on additional military programs even though the military's not asking for them.,1
9886,"Good, I look forward to it.",0
27507,"And I say that because from the very beginning, the president in his campaign four years ago, said he would meet with all the world's worst actors in his first year, he'd sit down with Chavez and Kim Jong-il, with Castro and President Ahmadinejad of Iran.",1
2752,If I'm elected we won't have Obama.,0
9287,"When the president ran for office, he said if you build a coal plant, you can go ahead, but you'll go bankrupt.",1
9771,"You know when members of the Republican Congress say, ""We're going to sign a no tax pledge, so that we don't ask a dime for millionaires and billionaires to reduce our deficit so we can still invest in education, and helping kids go to college.",0
27122,"But look, this has been going on for a year.",1
9756,"I said that I'd end the war in Iraq, and I did.",1
27465,I'd make sure that Ahmadinejad is indicted under the Genocide Convention.,1
9151,I know what it takes to create good jobs again.,0
